ID,probability
TEST_00000,0.00040416216
TEST_00001,0.0004742741
TEST_00002,0.17007835
TEST_00003,0.09103764
TEST_00004,0.411551
TEST_00005,0.117235646
TEST_00006,0.476869
TEST_00007,0.35143992
TEST_00008,0.30865836
TEST_00009,0.00070967514
TEST_00010,0.04736998
TEST_00011,0.4510546
TEST_00012,0.4510546
TEST_00013,0.4388303
TEST_00014,0.30066884
TEST_00015,0.0004742741
TEST_00016,0.31198868
TEST_00017,0.3543705
TEST_00018,0.25092527
TEST_00019,0.57930803
TEST_00020,0.25715548
TEST_00021,0.45276994
TEST_00022,0.24641259
TEST_00023,0.21444763
TEST_00024,0.4441512
TEST_00025,0.0007284786
TEST_00026,8.365615e-05
TEST_00027,0.32571813
TEST_00028,0.060945153
TEST_00029,0.16244423
TEST_00030,0.40477854
TEST_00031,0.14232296
TEST_00032,0.15297942
TEST_00033,0.16826107
TEST_00034,0.33579
TEST_00035,0.00062792224
TEST_00036,0.14389952
TEST_00037,0.30651283
TEST_00038,0.27636856
TEST_00039,0.00066351204
TEST_00040,0.18285504
TEST_00041,0.120663464
TEST_00042,0.28023788
TEST_00043,0.32260412
TEST_00044,0.35337487
TEST_00045,0.54924804
TEST_00046,0.4834859
TEST_00047,0.24181964
TEST_00048,0.113671705
TEST_00049,0.4399157
TEST_00050,0.2530994
TEST_00051,4.8092366e-05
TEST_00052,0.051275525
TEST_00053,0.53364176
TEST_00054,0.004131272
TEST_00055,0.38519686
TEST_00056,0.28821492
TEST_00057,0.22455361
TEST_00058,0.4518871
TEST_00059,0.14961287
TEST_00060,0.00035717845
TEST_00061,0.16137227
TEST_00062,0.2517507
TEST_00063,0.39559382
TEST_00064,0.18721035
TEST_00065,0.0005481542
TEST_00066,0.30410796
TEST_00067,0.24393345
TEST_00068,0.3221968
TEST_00069,0.45396456
TEST_00070,0.3985552
TEST_00071,0.35844985
TEST_00072,0.19073407
TEST_00073,0.16719124
TEST_00074,0.109886914
TEST_00075,0.23933873
TEST_00076,8.146221e-05
TEST_00077,0.0007970345
TEST_00078,0.12258713
TEST_00079,0.21903196
TEST_00080,0.33400872
TEST_00081,5.121983e-05
TEST_00082,0.23156066
TEST_00083,0.1604033
TEST_00084,0.34692502
TEST_00085,0.28267914
TEST_00086,0.0004159822
TEST_00087,0.3482737
TEST_00088,9.051598e-05
TEST_00089,0.45276994
TEST_00090,0.26342332
TEST_00091,0.09758164
TEST_00092,0.36950773
TEST_00093,0.49068117
TEST_00094,0.00072956446
TEST_00095,0.0003269955
TEST_00096,0.41683343
TEST_00097,0.12279333
TEST_00098,0.31582925
TEST_00099,0.29296222
TEST_00100,0.00012264219
TEST_00101,0.20526624
TEST_00102,0.22117552
TEST_00103,0.3509911
TEST_00104,0.4098624
TEST_00105,0.43599626
TEST_00106,0.30028093
TEST_00107,0.00018582153
TEST_00108,0.40921265
TEST_00109,0.00030199118
TEST_00110,0.44895086
TEST_00111,0.3573867
TEST_00112,0.00801243
TEST_00113,0.4439656
TEST_00114,0.24957399
TEST_00115,0.42219272
TEST_00116,0.00042981177
TEST_00117,0.44326904
TEST_00118,0.4044266
TEST_00119,0.17303759
TEST_00120,0.0008792086
TEST_00121,0.00041562904
TEST_00122,0.30669212
TEST_00123,0.42831528
TEST_00124,0.44689447
TEST_00125,0.22744097
TEST_00126,0.0007913777
TEST_00127,0.057616334
TEST_00128,0.316998
TEST_00129,0.42606267
TEST_00130,0.25300494
TEST_00131,0.4478623
TEST_00132,0.0007170256
TEST_00133,0.2700684
TEST_00134,0.42022428
TEST_00135,0.0004278021
TEST_00136,0.25346503
TEST_00137,0.25847805
TEST_00138,0.063197784
TEST_00139,0.28398004
TEST_00140,0.0072166244
TEST_00141,0.0017868978
TEST_00142,0.30868483
TEST_00143,0.0004354647
TEST_00144,0.10223017
TEST_00145,0.19974902
TEST_00146,7.260147e-05
TEST_00147,0.24408594
TEST_00148,0.23891689
TEST_00149,0.45723924
TEST_00150,0.00059951044
TEST_00151,0.0007542885
TEST_00152,0.43181112
TEST_00153,0.36121836
TEST_00154,0.020226208
TEST_00155,0.22145343
TEST_00156,0.32297564
TEST_00157,0.40447077
TEST_00158,0.5418443
TEST_00159,0.3239125
TEST_00160,0.3136215
TEST_00161,0.41805208
TEST_00162,0.25407234
TEST_00163,0.0024965557
TEST_00164,0.4537906
TEST_00165,0.22032805
TEST_00166,0.40999377
TEST_00167,0.20059438
TEST_00168,0.40590554
TEST_00169,0.30287084
TEST_00170,0.22308908
TEST_00171,0.21611504
TEST_00172,0.23441848
TEST_00173,0.26532784
TEST_00174,0.11938732
TEST_00175,0.25190115
TEST_00176,0.5247624
TEST_00177,0.22438931
TEST_00178,0.24637733
TEST_00179,0.30821997
TEST_00180,0.24080423
TEST_00181,0.5375137
TEST_00182,0.16884927
TEST_00183,0.4736596
TEST_00184,0.13420519
TEST_00185,0.20451252
TEST_00186,0.3361858
TEST_00187,0.25407234
TEST_00188,0.3965948
TEST_00189,0.3272529
TEST_00190,0.3363348
TEST_00191,0.20282443
TEST_00192,0.3594202
TEST_00193,0.050520334
TEST_00194,0.5725839
TEST_00195,0.29129168
TEST_00196,0.4183612
TEST_00197,0.29381976
TEST_00198,0.2700291
TEST_00199,0.3567484
TEST_00200,0.3756624
TEST_00201,0.3377447
TEST_00202,0.27828154
TEST_00203,0.25246942
TEST_00204,0.0002816619
TEST_00205,0.017108114
TEST_00206,0.00075251947
TEST_00207,0.3097459
TEST_00208,0.2292852
TEST_00209,0.31716824
TEST_00210,0.37682363
