ID,probability
TEST_00000,0.2623891
TEST_00001,0.23040137
TEST_00002,0.4953422
TEST_00003,0.46259677
TEST_00004,0.68762344
TEST_00005,0.4622881
TEST_00006,0.7033954
TEST_00007,0.6917104
TEST_00008,0.6513656
TEST_00009,0.23147695
TEST_00010,0.38773715
TEST_00011,0.7036485
TEST_00012,0.7036485
TEST_00013,0.68906385
TEST_00014,0.63063467
TEST_00015,0.23040137
TEST_00016,0.60877156
TEST_00017,0.6734535
TEST_00018,0.58804667
TEST_00019,0.7266109
TEST_00020,0.61053073
TEST_00021,0.70036286
TEST_00022,0.5805031
TEST_00023,0.5858876
TEST_00024,0.70334864
TEST_00025,0.23040137
TEST_00026,0.22592641
TEST_00027,0.6944479
TEST_00028,0.50891364
TEST_00029,0.4995022
TEST_00030,0.6896473
TEST_00031,0.5199197
TEST_00032,0.4995022
TEST_00033,0.53671205
TEST_00034,0.6433453
TEST_00035,0.22593941
TEST_00036,0.47419393
TEST_00037,0.6244344
TEST_00038,0.6264902
TEST_00039,0.25073984
TEST_00040,0.5119148
TEST_00041,0.49374843
TEST_00042,0.62543344
TEST_00043,0.63383764
TEST_00044,0.65092534
TEST_00045,0.67857146
TEST_00046,0.6925377
TEST_00047,0.58555895
TEST_00048,0.49372298
TEST_00049,0.7033863
TEST_00050,0.5679269
TEST_00051,0.22592641
TEST_00052,0.47552118
TEST_00053,0.7012203
TEST_00054,0.22593941
TEST_00055,0.6732841
TEST_00056,0.6095857
TEST_00057,0.5835928
TEST_00058,0.69848055
TEST_00059,0.5579559
TEST_00060,0.24812928
TEST_00061,0.55632603
TEST_00062,0.63056356
TEST_00063,0.6713511
TEST_00064,0.54749423
TEST_00065,0.23036508
TEST_00066,0.62576896
TEST_00067,0.5903282
TEST_00068,0.6250775
TEST_00069,0.7020457
TEST_00070,0.6874547
TEST_00071,0.62130606
TEST_00072,0.49595708
TEST_00073,0.58841723
TEST_00074,0.48317924
TEST_00075,0.5321931
TEST_00076,0.22592641
TEST_00077,0.23036508
TEST_00078,0.47385246
TEST_00079,0.58092046
TEST_00080,0.63971984
TEST_00081,0.22592641
TEST_00082,0.57354444
TEST_00083,0.5038805
TEST_00084,0.6395574
TEST_00085,0.62276965
TEST_00086,0.23147695
TEST_00087,0.6600809
TEST_00088,0.22592641
TEST_00089,0.70036286
TEST_00090,0.57608575
TEST_00091,0.4093356
