ID,probability
TEST_00000,0.0028980635
TEST_00001,0.0039055855
TEST_00002,0.38100007
TEST_00003,0.30103725
TEST_00004,0.7363729
TEST_00005,0.33499652
TEST_00006,0.73762363
TEST_00007,0.6572371
TEST_00008,0.4729616
TEST_00009,0.0020090598
TEST_00010,0.13800997
TEST_00011,0.72505957
TEST_00012,0.6655858
TEST_00013,0.66787994
TEST_00014,0.5446607
TEST_00015,0.003414458
TEST_00016,0.5144213
TEST_00017,0.64254266
TEST_00018,0.38366005
TEST_00019,0.86925906
TEST_00020,0.5369113
TEST_00021,0.6747844
TEST_00022,0.54848206
TEST_00023,0.44925365
TEST_00024,0.6889139
TEST_00025,0.002474986
TEST_00026,0.2796045
TEST_00027,0.69945097
TEST_00028,0.38226366
TEST_00029,0.42061383
TEST_00030,0.7217252
TEST_00031,0.42201224
TEST_00032,0.34768257
TEST_00033,0.3849104
TEST_00034,0.68139833
TEST_00035,0.0022605688
TEST_00036,0.31894273
TEST_00037,0.5981155
TEST_00038,0.4830073
TEST_00039,0.0063718376
TEST_00040,0.40224582
TEST_00041,0.3058077
TEST_00042,0.5715007
TEST_00043,0.5985468
TEST_00044,0.599183
TEST_00045,0.79286504
TEST_00046,0.7729
TEST_00047,0.49854702
TEST_00048,0.31024954
TEST_00049,0.66727394
TEST_00050,0.5324667
TEST_00051,0.37127987
TEST_00052,0.27506566
TEST_00053,0.8283112
TEST_00054,0.0038935593
TEST_00055,0.6730394
TEST_00056,0.6289089
TEST_00057,0.4378113
TEST_00058,0.74524945
TEST_00059,0.37611943
TEST_00060,0.0045976136
TEST_00061,0.3527265
TEST_00062,0.606236
TEST_00063,0.6120325
TEST_00064,0.43050987
TEST_00065,0.0046310807
TEST_00066,0.55808866
TEST_00067,0.41958618
TEST_00068,0.5784027
TEST_00069,0.754171
TEST_00070,0.6294995
TEST_00071,0.64099824
TEST_00072,0.45555848
TEST_00073,0.4821743
TEST_00074,0.3190869
TEST_00075,0.5003774
TEST_00076,0.02777424
TEST_00077,0.0053332527
TEST_00078,0.30316314
TEST_00079,0.44425228
TEST_00080,0.64236915
TEST_00081,0.0011034734
TEST_00082,0.4310511
TEST_00083,0.36993596
TEST_00084,0.69971925
TEST_00085,0.65930724
TEST_00086,0.0020266273
TEST_00087,0.666429
TEST_00088,0.33143556
TEST_00089,0.657857
TEST_00090,0.49805328
TEST_00091,0.2463139
TEST_00092,0.6217437
TEST_00093,0.7971495
TEST_00094,0.0016556367
TEST_00095,0.0028554122
TEST_00096,0.7299689
TEST_00097,0.2885235
TEST_00098,0.6409076
