ID,probability
TEST_00000,0.0013440434
TEST_00001,0.0013664822
TEST_00002,0.24084552
TEST_00003,0.24774696
TEST_00004,0.76059896
TEST_00005,0.5355447
TEST_00006,0.68862116
TEST_00007,0.74925005
TEST_00008,0.37109357
TEST_00009,0.00087583566
TEST_00010,0.0928537
TEST_00011,0.66249055
TEST_00012,0.54940754
TEST_00013,0.5654341
TEST_00014,0.6650043
TEST_00015,0.00088060624
TEST_00016,0.45619982
TEST_00017,0.8618612
TEST_00018,0.7210096
TEST_00019,0.83968395
TEST_00020,0.55476314
TEST_00021,0.65401703
TEST_00022,0.41424832
TEST_00023,0.40642685
TEST_00024,0.58597565
TEST_00025,0.0010101589
TEST_00026,0.18838294
TEST_00027,0.59888065
TEST_00028,0.37628505
TEST_00029,0.38944125
TEST_00030,0.6849406
TEST_00031,0.44393086
TEST_00032,0.21944736
TEST_00033,0.33938825
TEST_00034,0.6415807
TEST_00035,0.0010653732
TEST_00036,0.2360749
TEST_00037,0.53574634
TEST_00038,0.10822584
TEST_00039,0.007076579
TEST_00040,0.2470345
TEST_00041,0.43091315
TEST_00042,0.50300395
TEST_00043,0.56021893
TEST_00044,0.57996714
TEST_00045,0.88516355
TEST_00046,0.6623297
TEST_00047,0.46833444
TEST_00048,0.2902231
TEST_00049,0.6302542
TEST_00050,0.50623006
TEST_00051,0.36394507
TEST_00052,0.23336934
TEST_00053,0.6666865
TEST_00054,0.011996574
TEST_00055,0.6245826
TEST_00056,0.3871423
TEST_00057,0.4259338
TEST_00058,0.6646884
TEST_00059,0.41856363
TEST_00060,0.002078464
TEST_00061,0.3199385
TEST_00062,0.32380003
TEST_00063,0.5243058
TEST_00064,0.48921677
TEST_00065,0.001000563
TEST_00066,0.56891507
TEST_00067,0.32803616
TEST_00068,0.5696076
TEST_00069,0.68622416
TEST_00070,0.57895136
TEST_00071,0.56977874
TEST_00072,0.34965867
TEST_00073,0.33756417
TEST_00074,0.25452787
TEST_00075,0.52160066
TEST_00076,0.016167149
TEST_00077,0.0030474002
TEST_00078,0.37100998
TEST_00079,0.25514165
TEST_00080,0.66676664
TEST_00081,0.0011535452
TEST_00082,0.42564127
TEST_00083,0.3715423
TEST_00084,0.71731263
TEST_00085,0.6854093
TEST_00086,0.0005166555
TEST_00087,0.8476792
TEST_00088,0.35987097
TEST_00089,0.637706
TEST_00090,0.7177831
TEST_00091,0.11688647
TEST_00092,0.4625122
TEST_00093,0.60986954
TEST_00094,0.000805223
TEST_00095,0.0006403414
TEST_00096,0.68404675
TEST_00097,0.16625932
TEST_00098,0.64194065
TEST_00099,0.688822
TEST_00100,0.06127235
TEST_00101,0.5581479
TEST_00102,0.6685381
TEST_00103,0.46226418
TEST_00104,0.29956093
TEST_00105,0.7015855
TEST_00106,0.6680008
TEST_00107,0.00076340255
TEST_00108,0.6001785
TEST_00109,0.0004554459
TEST_00110,0.64911234
TEST_00111,0.56475425
TEST_00112,0.01848555
TEST_00113,0.5728027
TEST_00114,0.21971482
TEST_00115,0.7366812
TEST_00116,0.0010663866
TEST_00117,0.52915376
TEST_00118,0.5546888
TEST_00119,0.23488191
TEST_00120,0.0015346104
TEST_00121,0.00068105524
TEST_00122,0.6015914
TEST_00123,0.78414196
TEST_00124,0.6875499
TEST_00125,0.51978457
TEST_00126,0.0018592514
TEST_00127,0.1378776
TEST_00128,0.52882004
TEST_00129,0.67271876
TEST_00130,0.43877512
TEST_00131,0.7421895
TEST_00132,0.00089101726
TEST_00133,0.47167444
TEST_00134,0.6946758
TEST_00135,0.0070027346
TEST_00136,0.2627602
TEST_00137,0.30565876
TEST_00138,0.11696411
TEST_00139,0.4274246
TEST_00140,0.018231433
TEST_00141,0.0021014481
TEST_00142,0.5952507
TEST_00143,0.0019398865
TEST_00144,0.32404035
TEST_00145,0.8212692
TEST_00146,0.42137754
TEST_00147,0.45325217
TEST_00148,0.8245866
TEST_00149,0.7031367
TEST_00150,0.0005956361
TEST_00151,0.0010980285
TEST_00152,0.37383088
TEST_00153,0.4929493
TEST_00154,0.07604773
TEST_00155,0.52047783
TEST_00156,0.8726754
TEST_00157,0.8517855
TEST_00158,0.79731876
TEST_00159,0.61305267
TEST_00160,0.66043764
TEST_00161,0.72626275
TEST_00162,0.35674182
TEST_00163,0.004273409
TEST_00164,0.79978603
TEST_00165,0.36802387
TEST_00166,0.58869815
TEST_00167,0.44659752
TEST_00168,0.58976465
TEST_00169,0.52310383
TEST_00170,0.45923436
TEST_00171,0.5500045
TEST_00172,0.43632844
TEST_00173,0.7004085
TEST_00174,0.24372044
TEST_00175,0.41032034
TEST_00176,0.82702005
TEST_00177,0.39286214
TEST_00178,0.68532544
TEST_00179,0.5921393
TEST_00180,0.57556856
TEST_00181,0.5021093
TEST_00182,0.37113398
TEST_00183,0.8301099
TEST_00184,0.27419987
TEST_00185,0.4606875
TEST_00186,0.6935544
TEST_00187,0.3972295
TEST_00188,0.5300147
TEST_00189,0.4716648
TEST_00190,0.9042736
TEST_00191,0.34590665
TEST_00192,0.48446453
TEST_00193,0.13593973
TEST_00194,0.8927189
TEST_00195,0.5987054
TEST_00196,0.66452485
TEST_00197,0.50778615
TEST_00198,0.4804285
TEST_00199,0.646097
TEST_00200,0.60889316
TEST_00201,0.7480925
TEST_00202,0.50283796
TEST_00203,0.37516278
TEST_00204,0.00044158136
TEST_00205,0.033157863
TEST_00206,0.006150977
TEST_00207,0.41913936
TEST_00208,0.3170048
TEST_00209,0.41452685
TEST_00210,0.75633854
TEST_00211,0.26518482
TEST_00212,0.23884264
TEST_00213,0.12633844
TEST_00214,0.5134594
TEST_00215,0.38431245
TEST_00216,0.6503651
TEST_00217,0.77459246
TEST_00218,0.8916493
TEST_00219,0.5155147
TEST_00220,0.82754326
TEST_00221,0.55957705
TEST_00222,0.32731605
TEST_00223,0.5797918
TEST_00224,0.27339518
TEST_00225,0.5872521
TEST_00226,0.727661
TEST_00227,0.414695
TEST_00228,0.00080472557
TEST_00229,0.61521745
TEST_00230,0.5655016
TEST_00231,0.6005343
TEST_00232,0.47495577
TEST_00233,0.5143899
TEST_00234,0.8210811
TEST_00235,0.7712784
TEST_00236,0.5575188
TEST_00237,0.00081085507
TEST_00238,0.000745062
TEST_00239,0.60502917
TEST_00240,0.4952606
TEST_00241,0.6628325
TEST_00242,0.6023651
TEST_00243,0.43538377
TEST_00244,0.00073850213
TEST_00245,0.37734994
TEST_00246,0.42900985
TEST_00247,0.18626283
TEST_00248,0.6028917
TEST_00249,0.80618256
TEST_00250,0.36979073
TEST_00251,0.00052646326
TEST_00252,0.8350129
TEST_00253,0.017904067
TEST_00254,0.62259
TEST_00255,0.729777
TEST_00256,0.28974676
TEST_00257,0.7093891
TEST_00258,0.69831336
TEST_00259,0.70626706
TEST_00260,0.001421518
TEST_00261,0.0004087441
TEST_00262,0.00090388505
TEST_00263,0.6443617
TEST_00264,0.4004865
TEST_00265,0.5294797
TEST_00266,0.25879198
TEST_00267,0.0012716746
TEST_00268,0.43158507
TEST_00269,0.36425117
TEST_00270,0.2978811
TEST_00271,0.0037876572
TEST_00272,0.6215339
TEST_00273,0.45436275
TEST_00274,0.46396405
TEST_00275,0.06403378
TEST_00276,0.0012619621
TEST_00277,0.3642809
TEST_00278,0.58807826
TEST_00279,0.9733879
TEST_00280,0.17872012
TEST_00281,0.19602744
TEST_00282,0.0018897608
TEST_00283,0.0012991094
TEST_00284,0.70721465
TEST_00285,0.45431793
TEST_00286,0.0886842
TEST_00287,0.7279891
TEST_00288,0.0085922135
TEST_00289,0.7458582
TEST_00290,0.28222185
TEST_00291,0.65493715
TEST_00292,0.6289784
TEST_00293,0.0017021609
TEST_00294,0.53415364
TEST_00295,0.6016348
TEST_00296,0.018159026
TEST_00297,0.00083075085
TEST_00298,0.81174386
TEST_00299,0.61041737
TEST_00300,0.2535027
TEST_00301,0.70082563
TEST_00302,0.40074316
TEST_00303,0.45967564
TEST_00304,0.92079407
TEST_00305,0.61006224
TEST_00306,0.1127002
TEST_00307,0.68199015
TEST_00308,0.75705576
TEST_00309,0.8176296
TEST_00310,0.6711628
TEST_00311,0.6815716
TEST_00312,0.328959
TEST_00313,0.61647034
TEST_00314,0.6652502
TEST_00315,0.58726776
TEST_00316,0.05667618
TEST_00317,0.1930478
TEST_00318,0.0014410602
TEST_00319,0.003309689
TEST_00320,0.6750826
TEST_00321,0.4981938
TEST_00322,0.38440076
TEST_00323,0.41456735
TEST_00324,0.5784939
TEST_00325,0.00043830185
TEST_00326,0.54498667
TEST_00327,0.5750483
TEST_00328,0.3131965
TEST_00329,0.5490241
TEST_00330,0.6064024
TEST_00331,0.000550279
TEST_00332,0.6921819
TEST_00333,0.78145707
TEST_00334,0.62063235
TEST_00335,0.49592313
TEST_00336,0.0007925512
TEST_00337,0.09318324
TEST_00338,0.28117564
TEST_00339,0.46774217
TEST_00340,0.5850065
TEST_00341,0.54102254
TEST_00342,0.22527032
TEST_00343,0.1314076
TEST_00344,0.5589458
TEST_00345,0.043333508
TEST_00346,0.69344175
TEST_00347,0.6388642
TEST_00348,0.77988917
TEST_00349,0.440898
TEST_00350,0.40537053
TEST_00351,0.6380193
TEST_00352,0.0015379771
