ID,probability
TEST_00000,-1.0000261305787042
TEST_00001,-0.994950889803934
TEST_00002,-0.713877636741679
TEST_00003,-0.8005737749064423
TEST_00004,-0.005343388887381839
TEST_00005,-0.7446036014641486
TEST_00006,-0.0778621010696594
TEST_00007,-0.31259767944703454
TEST_00008,-0.46497267069173076
TEST_00009,-1.0001457131233293
TEST_00010,-0.8933934509308605
TEST_00011,-0.04106812495968304
TEST_00012,-0.23563320762272721
TEST_00013,-0.14247200089015177
TEST_00014,-0.4298430644528872
TEST_00015,-0.9976555927271022
TEST_00016,-0.531847123896366
TEST_00017,-0.25835232849884304
TEST_00018,-0.6272212017051786
TEST_00019,0.3035450379710005
TEST_00020,-0.5011289389024459
TEST_00021,-0.20535970769859624
TEST_00022,-0.44052215427643926
TEST_00023,-0.5674324214878772
TEST_00024,-0.20679558512572782
TEST_00025,-0.9996944176266979
TEST_00026,-0.7709332001756513
TEST_00027,-0.06796130345584539
TEST_00028,-0.6424830193575578
TEST_00029,-0.608245659023364
TEST_00030,-0.09008772156933775
TEST_00031,-0.6335150594657721
TEST_00032,-0.6707671309960452
TEST_00033,-0.6565848966613397
TEST_00034,-0.20395663239780126
TEST_00035,-0.9999846937381973
TEST_00036,-0.7346789468472027
TEST_00037,-0.3523893308946331
TEST_00038,-0.5528804385398127
TEST_00039,-0.9979993353953059
TEST_00040,-0.6007447535998177
TEST_00041,-0.7227760435976208
TEST_00042,-0.3654071984590853
TEST_00043,-0.34750133065642275
TEST_00044,-0.38334617349080047
TEST_00045,-0.0665257201074354
TEST_00046,0.11543081017597157
TEST_00047,-0.5408798772393211
TEST_00048,-0.7290195268266177
TEST_00049,-0.23618820428933351
TEST_00050,-0.5171077199055525
TEST_00051,-0.6689024327379074
TEST_00052,-0.7321912059169989
TEST_00053,0.15027821152117316
TEST_00054,-0.9999605829932419
TEST_00055,-0.1611817166695413
TEST_00056,-0.36807173443882457
TEST_00057,-0.5854808621490433
TEST_00058,0.024610268921530398
TEST_00059,-0.6190775901815788
TEST_00060,-0.9974169679636498
TEST_00061,-0.6617986665181419
TEST_00062,-0.3339554505619793
TEST_00063,-0.3347070683397999
TEST_00064,-0.6057061257685903
TEST_00065,-0.9996012320368902
TEST_00066,-0.4943648070531391
TEST_00067,-0.6126189522414838
TEST_00068,-0.4247032487191127
TEST_00069,-0.07171771888095146
TEST_00070,-0.2636628412071681
TEST_00071,-0.25821973993421643
TEST_00072,-0.5488494614726525
TEST_00073,-0.4632992499834925
TEST_00074,-0.7142779811339788
TEST_00075,-0.5148268027512819
TEST_00076,-0.9684413561745903
TEST_00077,-0.9980382064592571
TEST_00078,-0.7603583054652833
TEST_00079,-0.6156928024433838
TEST_00080,-0.2720826867931234
TEST_00081,-1.0003131195760913
TEST_00082,-0.592115451163531
TEST_00083,-0.6671646305491522
TEST_00084,-0.1305468066272899
TEST_00085,-0.2569888455305438
TEST_00086,-1.00022929544921
TEST_00087,-0.22055994152554115
TEST_00088,-0.7440292887220494
TEST_00089,-0.2365648675771106
TEST_00090,-0.5109823424210216
TEST_00091,-0.7976937346276843
TEST_00092,-0.2429215612368696
TEST_00093,0.07366805496811568
TEST_00094,-1.0013600617746077
TEST_00095,-0.9998049944230321
TEST_00096,-0.10795220722734289
TEST_00097,-0.7843533493704228
TEST_00098,-0.24042297785885514
TEST_00099,-0.4519294995583708
TEST_00100,-0.8063146480000536
TEST_00101,-0.6260389943066185
TEST_00102,-0.2854487248007368
TEST_00103,-0.37389218615431863
TEST_00104,-0.25699868195944664
TEST_00105,-0.03745508937748754
TEST_00106,-0.4613711515392728
TEST_00107,-1.00034967105197
TEST_00108,-0.3367318566601969
TEST_00109,-1.000177420653144
TEST_00110,-0.2271484357478324
TEST_00111,-0.152975743068692
TEST_00112,-0.9649591201351922
TEST_00113,-0.2351486607482146
TEST_00114,-0.5405363316250892
TEST_00115,-0.22604523522643782
TEST_00116,-0.9983666398530886
TEST_00117,-0.05955735078737945
TEST_00118,-0.32618025290786834
TEST_00119,-0.689174032429954
TEST_00120,-0.9991568571251812
TEST_00121,-1.0000084389443435
TEST_00122,-0.35207735154326314
TEST_00123,-0.03275973503779783
TEST_00124,-0.19258554889724433
TEST_00125,-0.4269451106252111
TEST_00126,-0.998190989080193
TEST_00127,-0.8790291294054466
TEST_00128,-0.43451754128880626
TEST_00129,-0.15195079534781453
TEST_00130,-0.5851011642143992
TEST_00131,-0.217461331256392
TEST_00132,-0.9998436136424397
TEST_00133,-0.48608077182349574
TEST_00134,-0.2558853593470424
TEST_00135,-0.9993552933864144
TEST_00136,-0.651635332302835
TEST_00137,-0.5218435730459384
TEST_00138,-0.8494068398613983
TEST_00139,-0.47804458179435794
TEST_00140,-0.9694636115758914
TEST_00141,-0.9998553144610031
TEST_00142,-0.3757913642582166
TEST_00143,-0.9983247393771923
TEST_00144,-0.7320795979636703
TEST_00145,-0.030654244055328017
TEST_00146,-0.6951260770780203
TEST_00147,-0.5598173175143142
TEST_00148,-0.5277503380356972
TEST_00149,-0.14524426800612866
TEST_00150,-0.999144308769279
TEST_00151,-1.0013640580872507
TEST_00152,-0.15365192673412387
TEST_00153,-0.4107154870311559
TEST_00154,-0.9496753191787363
TEST_00155,-0.5425266080825981
TEST_00156,-0.2575894763674963
TEST_00157,-0.26120509494130584
TEST_00158,-0.14366069580919416
TEST_00159,-0.3001160424832945
TEST_00160,-0.20917659108562336
TEST_00161,-0.007386207667521072
TEST_00162,-0.3317822972047164
TEST_00163,-0.9968032832888181
TEST_00164,0.05694003677817072
TEST_00165,-0.5162197122157913
TEST_00166,-0.2784069999872618
TEST_00167,-0.590964046633186
TEST_00168,-0.259530175742264
TEST_00169,-0.5207535254339142
TEST_00170,-0.598246622970313
TEST_00171,-0.5126437803382629
TEST_00172,-0.5174591596359013
TEST_00173,-0.5041976577475812
TEST_00174,-0.7317025140268727
TEST_00175,-0.42837796221550084
TEST_00176,-0.1187069040863008
TEST_00177,-0.6358230281066938
TEST_00178,-0.25369353465324274
TEST_00179,-0.3506653123421287
TEST_00180,-0.30392016087191687
TEST_00181,-0.05664551902226922
TEST_00182,-0.693089665703549
TEST_00183,0.14002439427033053
TEST_00184,-0.7622012843778714
TEST_00185,-0.6088545328289405
TEST_00186,-0.22634692456446048
TEST_00187,-0.49244037610700286
TEST_00188,-0.3758918181168551
TEST_00189,-0.43149579342270716
TEST_00190,-0.08244431327833746
TEST_00191,-0.5823804260668184
TEST_00192,-0.4477829772572719
TEST_00193,-0.8910840635226484
TEST_00194,0.3013487546675204
TEST_00195,-0.2718955549622475
TEST_00196,-0.10220449291570655
TEST_00197,-0.4633367816020617
TEST_00198,-0.5120608322114084
TEST_00199,-0.36887980044766977
TEST_00200,-0.1653696999361507
TEST_00201,-0.07255255259153137
TEST_00202,-0.4587559116645794
TEST_00203,-0.38844955288676497
TEST_00204,-0.9995930394732448
TEST_00205,-0.8784376765102004
TEST_00206,-1.0002111175009123
TEST_00207,-0.41739423426034405
TEST_00208,-0.5306052293009424
TEST_00209,-0.4187086062864246
TEST_00210,-0.1294896079944221
TEST_00211,-0.7278481303600352
TEST_00212,-0.6316146700028789
TEST_00213,-0.7713303401841172
TEST_00214,-0.3047703568055008
TEST_00215,-0.4286909682994682
TEST_00216,-0.3572330411190019
TEST_00217,-0.4081747904697919
TEST_00218,0.03162498918638579
TEST_00219,-0.5937337211740614
TEST_00220,0.1302323620999093
TEST_00221,-0.20818252677182003
TEST_00222,-0.8300041687590519
TEST_00223,-0.4596874966552251
TEST_00224,-0.7478795205160598
TEST_00225,-0.3946857344637903
TEST_00226,-0.5443868171531852
TEST_00227,-0.3827106142114989
TEST_00228,-0.9995758210349933
TEST_00229,-0.3527896083347205
TEST_00230,-0.3987383417253787
TEST_00231,-0.24497492634987927
TEST_00232,-0.5318340883890382
TEST_00233,-0.38128575014036703
TEST_00234,-0.32668359521801815
TEST_00235,-0.008114650815112867
TEST_00236,-0.3244245495618051
TEST_00237,-0.9996154517735644
TEST_00238,-1.0000504611227614
TEST_00239,-0.16958299309572444
TEST_00240,-0.4000447539458193
TEST_00241,-0.23046411774533193
TEST_00242,-0.3856880391999078
TEST_00243,-0.6176051058041123
TEST_00244,-1.000317623419084
TEST_00245,0.08516655704169152
TEST_00246,-0.24997454836495037
TEST_00247,-0.7748406367511925
TEST_00248,-0.2651013655982106
TEST_00249,-0.034447429415785935
TEST_00250,-0.5871899705685015
TEST_00251,-1.00023006505612
TEST_00252,-0.1363283390972998
TEST_00253,-0.9715431956152488
TEST_00254,-0.23412093920829713
TEST_00255,0.08257532932992562
TEST_00256,-0.31551086824791674
TEST_00257,-0.2705904358920459
TEST_00258,-0.1713957126234914
TEST_00259,0.032728391371739995
TEST_00260,-0.9994901680530269
TEST_00261,-0.9998655731794471
TEST_00262,-0.9965000531005705
TEST_00263,-0.027121105876288576
TEST_00264,-0.5850566640781241
TEST_00265,-0.34442088734987886
TEST_00266,-0.6070131616987241
TEST_00267,-0.9990834698998893
TEST_00268,-0.6301318393736918
TEST_00269,-0.2936024329932292
TEST_00270,-0.6949677346088269
TEST_00271,-0.9996848492292393
TEST_00272,-0.42807234466358657
TEST_00273,-0.5388261505621419
TEST_00274,-0.43043639165775005
TEST_00275,-0.9107995798520938
TEST_00276,-0.9998379111588813
TEST_00277,-0.48118677312810865
TEST_00278,-0.27102666595324276
TEST_00279,-0.026421245318425823
TEST_00280,-0.999761418476844
TEST_00281,-0.7537549267175822
TEST_00282,-0.9978269755224218
TEST_00283,-0.9968533562559425
TEST_00284,-0.2142129470816293
TEST_00285,-0.428071687572802
TEST_00286,-0.874094320872332
TEST_00287,0.03388269667624888
TEST_00288,-0.9983120786087306
TEST_00289,-0.20960135571477068
TEST_00290,-0.6888115612907553
TEST_00291,-0.4344572617635125
TEST_00292,-0.16073254526144742
TEST_00293,-0.9997352298057869
TEST_00294,-0.04120297378516424
TEST_00295,-0.37745318064323286
TEST_00296,-0.9507107537958838
TEST_00297,-0.9995727091324067
TEST_00298,0.08234275058380991
TEST_00299,-0.34393753162868623
TEST_00300,-0.7123070658218895
TEST_00301,-0.08711976879315997
TEST_00302,-0.4490965291674296
TEST_00303,-0.21382507486776015
TEST_00304,0.11103125747090248
TEST_00305,-0.05439071584629174
TEST_00306,-0.6082188501727999
TEST_00307,0.06822545443461103
TEST_00308,-0.11484233149844947
TEST_00309,-0.08800873064552106
TEST_00310,-0.19936553851810768
TEST_00311,-0.08213906476016786
TEST_00312,-0.7455896827272834
TEST_00313,-0.7288739808575477
TEST_00314,-0.05706936167460963
TEST_00315,-0.35047274738784284
TEST_00316,-0.9036978316943564
TEST_00317,-0.7699014255674986
TEST_00318,-1.0002010729410407
TEST_00319,-0.9986092831625292
TEST_00320,-0.17859494312955848
TEST_00321,-0.5912960470476509
TEST_00322,-0.645444562449373
TEST_00323,-0.5476454340853038
TEST_00324,-0.36994568250484505
TEST_00325,-1.0004222088350139
TEST_00326,-0.38479783831204184
TEST_00327,-0.4268067677099685
TEST_00328,-0.7519833041114198
TEST_00329,-0.31221934613366653
TEST_00330,-0.28219435930422077
TEST_00331,-1.0018772328882581
TEST_00332,-0.11018191868765603
TEST_00333,-0.2482720285957286
TEST_00334,-0.09392801026795783
TEST_00335,-0.3318002899617227
TEST_00336,-0.9992616381360434
TEST_00337,-0.5864148939840494
TEST_00338,-0.4473912794955207
TEST_00339,-0.39012646057616973
TEST_00340,-0.3910381491834025
TEST_00341,-0.47720549812887714
TEST_00342,-0.7192612554035431
TEST_00343,-0.927955149678561
TEST_00344,-0.5880641133132001
TEST_00345,-0.9510654426327271
TEST_00346,-0.39341692461791455
TEST_00347,-0.5046230712299253
TEST_00348,-0.23345531316194224
TEST_00349,-0.3712033864514622
TEST_00350,-0.4736358004001805
TEST_00351,-0.22518539774486968
TEST_00352,-0.9975392940654707
TEST_00353,-0.998567115271298
TEST_00354,-0.6120607211812514
TEST_00355,-0.20553916301718422
TEST_00356,-0.6732587585555545
TEST_00357,-1.0000479407004979
TEST_00358,-0.9977745081481627
TEST_00359,-0.029321577472259386
TEST_00360,-0.2378118756374039
TEST_00361,-0.5841143614296399
TEST_00362,-0.2194921651257219
TEST_00363,-0.9998760867046608
TEST_00364,-0.38106603326528976
TEST_00365,-0.5335785270213521
TEST_00366,-0.386852888026023
TEST_00367,-0.6029660505691202
TEST_00368,-0.3900656351740124
TEST_00369,-0.857761820725203
TEST_00370,-0.9979181554654721
TEST_00371,-0.8014673370113844
TEST_00372,-0.49158953079916945
TEST_00373,-0.0845923241284191
TEST_00374,-0.23648883286505273
TEST_00375,-0.9984599200995674
TEST_00376,-1.0006902465873915
TEST_00377,-0.4585849657636697
TEST_00378,-0.44704842183085214
TEST_00379,-0.700963426519152
TEST_00380,-0.9990207329883307
TEST_00381,-0.10920955560058676
TEST_00382,-0.08952767642720871
TEST_00383,-0.8226911380369732
TEST_00384,-0.20191164623201996
TEST_00385,-0.6065310366780945
TEST_00386,0.010576315946792425
TEST_00387,-0.4522644056802336
TEST_00388,-0.4252952848808951
TEST_00389,-0.3930461538353681
TEST_00390,-0.10019130744253202
TEST_00391,-0.0059393683063708735
TEST_00392,-0.39689538101958244
TEST_00393,-0.3531453719506553
TEST_00394,-0.7803179198224693
TEST_00395,-0.030732856909285622
TEST_00396,-0.28929231585140547
TEST_00397,-1.0002685465570433
TEST_00398,-0.6804198254094224
TEST_00399,-1.0002171306386345
TEST_00400,-0.33067925109787766
TEST_00401,-1.0001373994982767
TEST_00402,-0.7928680920933947
TEST_00403,-0.971307990914766
TEST_00404,-0.15554558100780058
TEST_00405,0.03190430421550561
TEST_00406,-0.8051593878215775
TEST_00407,-0.4377561415177149
TEST_00408,-0.4223638259763871
TEST_00409,-0.7707126401405098
TEST_00410,-0.9057533287349239
TEST_00411,-0.620249629698669
TEST_00412,-0.727434865307613
TEST_00413,-0.14558966025128972
TEST_00414,-0.29586477275035694
TEST_00415,-0.5428745376532205
TEST_00416,-0.11057299249212793
TEST_00417,-0.03730707906425046
TEST_00418,-0.049187996972585246
TEST_00419,-0.8106708986298361
TEST_00420,-0.8059069792796871
TEST_00421,-0.23516355802255096
TEST_00422,0.005095037561716698
TEST_00423,-0.9999875655263267
TEST_00424,-0.5686353095097815
TEST_00425,-0.6484604353538508
TEST_00426,-0.4539650489910654
TEST_00427,-0.28135168743566297
TEST_00428,-0.47815063574573546
TEST_00429,-0.64309108470543
TEST_00430,-0.16203791735169126
TEST_00431,-0.19263490044832232
TEST_00432,-0.5524317165612791
TEST_00433,-0.9994753738965445
TEST_00434,-0.1295379345969938
TEST_00435,-0.3752792064234237
TEST_00436,-1.0000969955557844
TEST_00437,-0.3290255048575649
TEST_00438,-0.9991447617344326
TEST_00439,-0.9973518880252318
TEST_00440,-0.11580009358675536
TEST_00441,0.02100293656758634
TEST_00442,-0.21403224603507387
TEST_00443,-0.24311843363474928
TEST_00444,-1.0001436526251988
TEST_00445,-0.38106647113459824
TEST_00446,-0.8176132891721645
TEST_00447,-0.11997737466417457
TEST_00448,-0.2893137999168349
TEST_00449,-0.9962125285138482
TEST_00450,-0.1302789663240177
TEST_00451,-1.0020039075940679
TEST_00452,-0.25740867945753676
TEST_00453,-0.10315798376380303
TEST_00454,-0.4436695340168979
TEST_00455,-0.5081663836368049
TEST_00456,-1.0000026363395265
TEST_00457,-0.28199874706871575
TEST_00458,-0.7736347010198998
TEST_00459,-0.36226379620831706
TEST_00460,-0.9973970678215911
TEST_00461,-0.1420462098124904
TEST_00462,-0.3918807648035355
TEST_00463,-0.6307042628473569
TEST_00464,-0.33210410682970815
TEST_00465,-0.4224674155747913
TEST_00466,-0.45839595260052324
TEST_00467,-0.3179246233803571
TEST_00468,0.046002245673849806
TEST_00469,-0.9986517066090742
TEST_00470,-0.35788310111899524
TEST_00471,-0.042233488866680324
TEST_00472,-0.009588031707298161
TEST_00473,-0.4373571659892027
TEST_00474,0.03433831081869876
TEST_00475,-0.4187669046383182
TEST_00476,-1.0005901561981674
TEST_00477,-0.10752306558233404
TEST_00478,-0.5909187181760748
TEST_00479,-0.5514123256955693
TEST_00480,-0.11144363491867115
TEST_00481,-0.6694726824920219
TEST_00482,-0.4447255463789077
TEST_00483,-0.3950999838993743
TEST_00484,-0.6596190558567004
TEST_00485,-0.44941790249435076
TEST_00486,-0.4425467502966982
TEST_00487,-0.1530457750405947
TEST_00488,-0.5434516966471632
TEST_00489,-0.31108971854203027
TEST_00490,-0.3752364308132635
TEST_00491,-0.18108411660269508
TEST_00492,-0.44808072515485686
TEST_00493,-0.46809363775917656
TEST_00494,-0.9979896626564599
TEST_00495,-0.08088147484950636
TEST_00496,-0.40197468258000346
TEST_00497,-0.20448872852214428
TEST_00498,-0.45287972065816595
TEST_00499,0.06988290973395372
TEST_00500,-1.000245315418742
TEST_00501,-0.998448595220545
TEST_00502,-0.8792255865052495
TEST_00503,-0.278471872802196
TEST_00504,-1.0001294249195685
TEST_00505,0.07442378487706591
TEST_00506,-1.000142347106432
TEST_00507,-0.5122974337424511
TEST_00508,-0.13280078163022724
TEST_00509,-0.5960941470788611
TEST_00510,-0.46911065640573124
TEST_00511,-0.9500317129286845
TEST_00512,-0.9448685861170812
TEST_00513,-0.9381233538630708
TEST_00514,0.05634885135072554
TEST_00515,-0.38188382821458255
TEST_00516,-0.09169118929881048
TEST_00517,-0.42807524744901715
TEST_00518,-0.5190722666057769
TEST_00519,-0.26263401427719935
TEST_00520,-0.9995076828790788
TEST_00521,-0.7384521384434654
TEST_00522,-0.9999726097741712
TEST_00523,-0.48777230936098326
TEST_00524,-0.3736122745836198
TEST_00525,-0.784861383725459
TEST_00526,-0.6919944908077442
TEST_00527,-0.9961503171113631
TEST_00528,-0.5287176162553302
TEST_00529,-0.25062322549387295
TEST_00530,-0.2353371529160304
TEST_00531,-0.17695517187350285
TEST_00532,0.012781465061263653
TEST_00533,-0.9989391282492562
TEST_00534,-0.5169021030556605
TEST_00535,-0.7224231784343087
TEST_00536,-0.03933254408607478
TEST_00537,-0.999477013640457
TEST_00538,-0.9989033951120465
TEST_00539,-0.9298676921697396
TEST_00540,-0.24701938177786276
TEST_00541,-0.42349353352220653
TEST_00542,-0.9993623124092376
TEST_00543,-0.2545600407654375
TEST_00544,-0.4471930967172968
TEST_00545,-0.26892314651245064
TEST_00546,-0.24548289770359244
TEST_00547,-1.000092467247441
TEST_00548,0.015783612734979302
TEST_00549,-0.5223022330340381
TEST_00550,-0.3097455485484296
TEST_00551,-0.3957658533790197
TEST_00552,-0.4168623950909017
TEST_00553,-0.7519703244181537
TEST_00554,-0.5227372910194704
TEST_00555,-0.3491457345234965
TEST_00556,-0.6518222502615304
TEST_00557,-0.25350758127357587
TEST_00558,-0.07361314278176179
TEST_00559,-0.9970805016806714
TEST_00560,-0.5642468155663742
TEST_00561,-0.8638593185790425
TEST_00562,0.13927922862136977
TEST_00563,-0.9967957482261217
TEST_00564,-0.3226159288722078
TEST_00565,-0.5912282242798911
TEST_00566,-0.4188998558984094
TEST_00567,-0.750019894863847
TEST_00568,-0.5365935310978008
TEST_00569,-0.6317372837624285
TEST_00570,-0.6483111145378513
TEST_00571,-0.48531329847946314
TEST_00572,-0.9995048552276655
TEST_00573,-0.9964296243900662
TEST_00574,-0.23335259498237837
TEST_00575,-0.8428600429616141
TEST_00576,-0.5787876869244469
TEST_00577,-0.4622392786584226
TEST_00578,-0.26815432444829457
TEST_00579,-0.02454547265108009
TEST_00580,-1.0013786702809344
TEST_00581,-0.25443338132477455
TEST_00582,-0.6973792305963932
TEST_00583,-0.3640432447109143
TEST_00584,-0.48809743821726814
TEST_00585,-0.4182915226855355
TEST_00586,-0.8002607806821223
TEST_00587,-0.5474205707255745
TEST_00588,-0.13223978942394177
TEST_00589,-0.9997809023239759
TEST_00590,-0.5549227502358631
TEST_00591,-0.6521916976311726
TEST_00592,-0.5453451700391685
TEST_00593,-0.44633972742351624
TEST_00594,-0.9999289078352308
TEST_00595,-0.58132334700629
TEST_00596,-0.17084406258224316
TEST_00597,-0.14502087617397208
TEST_00598,-0.4616812668535275
TEST_00599,-0.5357066889791424
TEST_00600,-0.8402100440410332
TEST_00601,-0.36899148339623655
TEST_00602,-0.32917776811242627
TEST_00603,-0.18537774086199676
TEST_00604,-0.6000418612026827
TEST_00605,-0.111646667770811
TEST_00606,-0.9217289735526648
TEST_00607,-0.4104915411775639
TEST_00608,-0.6039132267496029
TEST_00609,0.060221328917878125
TEST_00610,-1.0002628034442014
TEST_00611,-0.43005185177197847
TEST_00612,-0.4283672362289068
TEST_00613,-0.3219512063180454
TEST_00614,-0.18531367000920795
TEST_00615,-0.0877614605800644
TEST_00616,-0.23841117854448401
TEST_00617,-0.5389718009774291
TEST_00618,-0.7716310410081897
TEST_00619,-0.6965665787859147
TEST_00620,-0.6014768138090361
TEST_00621,-0.6469426618795303
TEST_00622,-0.20670858167601258
TEST_00623,-0.06645766079064508
TEST_00624,-0.06901139646524312
TEST_00625,-0.12160436470235192
TEST_00626,-0.4388606491964565
TEST_00627,-0.49965773692502125
TEST_00628,-0.0507918350919655
TEST_00629,-0.7301505803505814
TEST_00630,-0.5349011321062757
TEST_00631,-0.7327307266914985
TEST_00632,0.007254347229299407
TEST_00633,-0.26125237676114743
TEST_00634,-0.02108205973997157
TEST_00635,-0.043209411447602264
TEST_00636,-0.5461008745575764
TEST_00637,-0.14883226252341275
TEST_00638,-0.9992272597447797
TEST_00639,0.06296050450033741
TEST_00640,-0.9998590076759659
TEST_00641,-1.0010201147953708
TEST_00642,0.0322370091360078
TEST_00643,-0.4582944082072693
TEST_00644,-0.7101609136471019
TEST_00645,-0.7530864926635227
TEST_00646,-1.0000642323892843
TEST_00647,-0.8808848194466903
TEST_00648,-0.04614726605214958
TEST_00649,-0.2341418928910226
TEST_00650,-0.777597037720422
TEST_00651,-0.2749337473131822
TEST_00652,-0.010554791731618884
TEST_00653,-0.4814372222936696
TEST_00654,-1.0001935004115958
TEST_00655,-0.035602309716524116
TEST_00656,-0.36110143592589294
TEST_00657,-0.9995581696685267
TEST_00658,-0.8435520874116171
TEST_00659,-0.641262075099874
TEST_00660,-1.001358059621024
TEST_00661,-0.022066494389261004
TEST_00662,-0.7454178220013945
TEST_00663,-0.9986476260867413
TEST_00664,-0.34714342846518276
TEST_00665,-0.9982926179932273
TEST_00666,-0.606274504625474
TEST_00667,-1.0019226005816
TEST_00668,-0.6210790888254754
TEST_00669,-0.4759364514517678
TEST_00670,-0.7842775819788779
TEST_00671,-0.24055832010637823
TEST_00672,-0.2671978985103095
TEST_00673,-1.000057215148697
TEST_00674,-0.5573991653206218
TEST_00675,-0.7218625449886539
TEST_00676,0.044007283995891155
TEST_00677,-0.6765090493969539
TEST_00678,-0.6168101047411081
TEST_00679,-0.21366875694851328
TEST_00680,-0.5608572115178591
TEST_00681,-0.9998240620822233
TEST_00682,-1.0013962499485676
TEST_00683,-0.7594040276689354
TEST_00684,-0.2870265686258019
TEST_00685,-0.6937118714120797
TEST_00686,-0.057697205943560315
TEST_00687,-0.8992526647100909
TEST_00688,-0.4653808777638442
TEST_00689,-0.23818813750019718
TEST_00690,-0.2504482121006134
TEST_00691,-0.15684790880603872
TEST_00692,-0.9256847417916554
TEST_00693,-0.6035748233866169
TEST_00694,-0.8302826985448337
TEST_00695,-0.5168237447595729
TEST_00696,-0.9007533022233655
TEST_00697,-0.28814842267042606
TEST_00698,-0.012773012479950552
TEST_00699,-1.000341863496953
TEST_00700,-0.5168079658920484
TEST_00701,-0.4093291388816115
TEST_00702,-0.6796773105550455
TEST_00703,-0.5333251974816237
TEST_00704,-0.25804106439471064
TEST_00705,-0.12505419941161056
TEST_00706,-0.5328396403842319
TEST_00707,-0.998010700314268
TEST_00708,-1.0002381644929283
TEST_00709,-0.3388715460631576
TEST_00710,-0.0705379772840855
TEST_00711,-0.5088741833580466
TEST_00712,-0.4950636748800421
TEST_00713,-0.799037816704472
