iter	Passed	Remaining
0	36	18002
1	73	18202
2	111	18418
3	147	18305
4	184	18244
5	219	18061
6	257	18115
7	290	17862
8	325	17737
9	362	17752
10	398	17713
11	436	17738
12	472	17700
13	511	17769
14	544	17616
15	578	17514
16	617	17546
17	648	17377
18	679	17199
19	715	17176
20	750	17110
21	782	16995
22	818	16971
23	855	16957
24	892	16958
25	927	16903
26	965	16910
27	1001	16885
28	1039	16877
29	1075	16856
30	1112	16835
31	1147	16775
32	1185	16773
33	1217	16691
34	1252	16646
35	1290	16630
36	1328	16623
37	1396	16982
38	1450	17142
39	1482	17053
40	1519	17014
41	1554	16954
42	1588	16879
43	1625	16841
44	1661	16803
45	1697	16758
46	1733	16708
47	1770	16673
48	1805	16617
49	1838	16550
50	1876	16524
51	1916	16512
52	1953	16472
53	1989	16430
54	2023	16371
55	2060	16333
56	2094	16275
57	2126	16208
58	2162	16161
59	2198	16119
60	2230	16051
61	2268	16024
62	2302	15973
63	2338	15930
64	2371	15871
65	2404	15811
66	2441	15780
67	2476	15733
68	2511	15690
69	2546	15640
70	2581	15597
71	2617	15561
72	2655	15534
73	2690	15487
74	2727	15456
75	2766	15435
76	2803	15399
77	2836	15343
78	2867	15278
79	2904	15247
80	2938	15197
81	2974	15163
82	3010	15125
83	3044	15075
84	3081	15044
85	3117	15007
86	3151	14961
87	3190	14939
88	3225	14897
89	3261	14858
90	3297	14820
91	3332	14779
92	3367	14739
93	3406	14712
94	3443	14681
95	3482	14653
96	3518	14616
97	3556	14588
98	3594	14560
99	3630	14521
100	3666	14483
101	3700	14439
102	3735	14398
103	3771	14361
104	3807	14325
105	3843	14286
106	3878	14246
107	3911	14198
108	3942	14142
109	3975	14095
110	4007	14044
111	4037	13986
112	4069	13937
113	4104	13896
114	4139	13859
115	4178	13831
116	4213	13792
117	4251	13762
118	4284	13718
119	4319	13679
120	4355	13643
121	4389	13600
122	4425	13565
123	4461	13529
124	4498	13494
125	4538	13470
126	4572	13428
127	4607	13390
128	4641	13348
129	4677	13313
130	4714	13278
131	4750	13243
132	4785	13206
133	4820	13167
134	4861	13143
135	4895	13101
136	4930	13062
137	4967	13029
138	5002	12991
139	5035	12948
140	5073	12917
141	5110	12885
142	5142	12838
143	5175	12795
144	5208	12752
145	5246	12721
146	5279	12678
147	5316	12643
148	5349	12602
149	5383	12561
150	5419	12526
151	5454	12488
152	5494	12461
153	5533	12432
154	5571	12400
155	5606	12363
156	5644	12332
157	5678	12291
158	5712	12251
159	5745	12209
160	5779	12168
161	5818	12139
162	5854	12104
163	5889	12065
164	5923	12026
165	5957	11987
166	5992	11948
167	6027	11911
168	6067	11884
169	6104	11849
170	6139	11813
171	6174	11774
172	6208	11734
173	6239	11689
174	6273	11651
175	6307	11611
176	6340	11570
177	6375	11532
178	6410	11495
179	6445	11458
180	6484	11428
181	6519	11391
182	6553	11352
183	6591	11319
184	6628	11286
185	6660	11243
186	6698	11211
187	6732	11173
188	6767	11135
189	6803	11099
190	6838	11063
191	6873	11025
192	6908	10988
193	6944	10953
194	6979	10915
195	7012	10877
196	7049	10843
197	7085	10806
198	7120	10770
199	7153	10730
200	7188	10693
201	7228	10663
202	7264	10628
203	7298	10589
204	7329	10547
205	7361	10506
206	7397	10471
207	7428	10428
208	7458	10384
209	7491	10345
210	7523	10305
211	7557	10266
212	7596	10235
213	7632	10200
214	7667	10163
215	7704	10129
216	7740	10095
217	7779	10063
218	7815	10027
219	7852	9993
220	7887	9957
221	7921	9919
222	7954	9880
223	7990	9845
224	8026	9809
225	8060	9772
226	8096	9736
227	8130	9700
228	8167	9664
229	8200	9627
230	8236	9591
231	8271	9555
232	8306	9518
233	8344	9485
234	8381	9451
235	8416	9415
236	8449	9376
237	8486	9342
238	8521	9306
239	8557	9271
240	8593	9235
241	8632	9202
242	8668	9168
243	8704	9132
244	8741	9098
245	8777	9062
246	8809	9023
247	8844	8987
248	8880	8952
249	8915	8915
250	8952	8881
251	8991	8848
252	9027	8813
253	9061	8775
254	9094	8737
255	9133	8704
256	9168	8669
257	9204	8633
258	9241	8599
259	9277	8563
260	9311	8527
261	9347	8490
262	9385	8457
263	9419	8420
264	9455	8384
265	9493	8351
266	9530	8317
267	9563	8278
268	9600	8244
269	9639	8211
270	9676	8176
271	9717	8145
272	9750	8107
273	9786	8071
274	9822	8036
275	9859	8001
276	9893	7964
277	9930	7930
278	9965	7894
279	10005	7861
280	10040	7825
281	10075	7788
282	10113	7755
283	10149	7719
284	10184	7683
285	10218	7646
286	10255	7611
287	10289	7574
288	10327	7540
289	10365	7506
290	10402	7471
291	10437	7434
292	10472	7398
293	10508	7363
294	10545	7328
295	10580	7291
296	10621	7259
297	10654	7222
298	10687	7184
299	10719	7146
300	10750	7107
301	10779	7067
302	10812	7029
303	10845	6992
304	10879	6955
305	10917	6921
306	10953	6885
307	10989	6850
308	11028	6816
309	11064	6781
310	11101	6746
311	11139	6711
312	11174	6676
313	11211	6641
314	11244	6604
315	11281	6568
316	11318	6533
317	11355	6499
318	11394	6465
319	11430	6429
320	11464	6393
321	11502	6358
322	11537	6322
323	11569	6284
324	11607	6250
325	11647	6216
326	11684	6181
327	11720	6146
328	11761	6112
329	11799	6078
330	11835	6042
331	11870	6006
332	11908	5972
333	11947	5937
334	11983	5902
335	12021	5867
336	12058	5832
337	12096	5797
338	12132	5761
339	12167	5725
340	12200	5688
341	12235	5652
342	12269	5616
343	12304	5579
344	12340	5544
345	12375	5508
346	12410	5471
347	12447	5436
348	12484	5401
349	12521	5366
350	12556	5330
351	12593	5295
352	12632	5260
353	12667	5224
354	12701	5187
355	12739	5153
356	12775	5117
357	12811	5081
358	12843	5044
359	12877	5007
360	12913	4972
361	12950	4936
362	12989	4902
363	13021	4865
364	13056	4829
365	13093	4793
366	13129	4758
367	13165	4722
368	13200	4686
369	13238	4651
370	13273	4615
371	13308	4579
372	13345	4543
373	13382	4508
374	13419	4473
375	13458	4438
376	13495	4403
377	13531	4367
378	13566	4331
379	13601	4295
380	13638	4259
381	13672	4223
382	13707	4187
383	13743	4151
384	13780	4116
385	13814	4079
386	13849	4043
387	13884	4007
388	13916	3971
389	13951	3934
390	13982	3897
391	14011	3860
