iter	Logloss
0	0.641471626
1	0.6007226449
2	0.5755916555
3	0.5566574961
4	0.5471840546
5	0.5337074504
6	0.5285940135
7	0.5217665507
8	0.5182435671
9	0.5142184499
10	0.5108071945
11	0.5086753118
12	0.5066055384
13	0.5053455408
14	0.5036881171
15	0.5026195999
16	0.5018624451
17	0.5006945905
18	0.4998934445
19	0.49919997
20	0.4986539705
21	0.4981595876
22	0.4975970655
23	0.497149051
24	0.4968530765
25	0.4966353132
26	0.4964167333
27	0.4955010818
28	0.4952395214
29	0.4950352742
30	0.4948946476
31	0.4947298548
32	0.4946044107
33	0.4939197909
34	0.4938222697
35	0.4937381603
36	0.4935856884
37	0.4935535816
38	0.493291325
39	0.4932071821
40	0.4931218584
41	0.4930251383
42	0.4929218159
43	0.4928573442
44	0.4927489706
45	0.4926968347
46	0.4926349527
47	0.4925900293
48	0.4925610596
49	0.4925146473
50	0.4922402689
51	0.49218751
52	0.4921347132
53	0.4920869634
54	0.492039203
55	0.4920089631
56	0.491984545
57	0.4918832045
58	0.4918510884
59	0.4918040666
60	0.4917603307
61	0.4917244941
62	0.4915390065
63	0.4915137043
64	0.4914822307
65	0.4914639435
66	0.4913199177
67	0.4912730982
68	0.4912460188
69	0.4912324814
70	0.491196881
71	0.4910470309
72	0.4910302277
73	0.4909991256
74	0.4909823359
75	0.4909433216
76	0.4909187351
77	0.4908980991
78	0.4908789484
79	0.4908486835
80	0.490821856
81	0.4908012671
82	0.4907602166
83	0.4907481619
84	0.4907199828
85	0.4906831929
86	0.4906488306
87	0.4906238596
88	0.4905850273
89	0.4905637151
90	0.4905329662
91	0.4905102653
92	0.4904899583
93	0.4904648366
94	0.4904465741
95	0.4904328592
96	0.4904154535
97	0.4903973114
98	0.490373919
99	0.490363701
100	0.4903379747
101	0.4903219433
102	0.4902991679
103	0.490274484
104	0.4902587037
105	0.4902249434
106	0.4902020433
107	0.490181213
108	0.4901570791
109	0.490130768
110	0.4901261295
111	0.4900943541
112	0.4900733507
113	0.4900427104
114	0.4900233714
115	0.4900042344
116	0.489979098
117	0.4899583699
118	0.4899402978
119	0.4899136807
120	0.4898577699
121	0.4898178655
122	0.4897983061
123	0.4897571379
124	0.489732024
125	0.4896976804
126	0.4896474999
127	0.4896239166
128	0.4895966321
129	0.4895662615
130	0.4895525956
131	0.4895245624
132	0.4894885905
133	0.4894631641
134	0.4894338216
135	0.4894131493
136	0.4893756052
137	0.4893580523
138	0.4893382696
139	0.4893146915
140	0.489284101
141	0.4892442767
142	0.4892085614
143	0.489180307
144	0.4891616012
145	0.4891353429
146	0.4891020665
147	0.489072824
148	0.4890555845
149	0.4890327835
150	0.4890060485
151	0.4889676035
152	0.4889558966
153	0.4889401212
154	0.4889227161
155	0.4888937759
156	0.4888660479
157	0.4888376459
158	0.4888030327
159	0.488773636
160	0.4887556715
161	0.4887377278
162	0.4887104024
163	0.4886928825
164	0.4886805569
165	0.4886521448
166	0.4886355309
167	0.488616035
168	0.4885983031
169	0.4885694227
170	0.4885423922
171	0.4885221409
172	0.4885034402
173	0.48847998
174	0.4884576877
175	0.4884400655
176	0.4884093722
177	0.4883767629
178	0.4883568604
179	0.4883427897
180	0.4883264048
181	0.4882901534
182	0.4882821922
183	0.4882432124
184	0.4881985021
185	0.4881791051
186	0.4881570123
187	0.4881338568
188	0.4881125789
189	0.4880865364
190	0.4880761153
191	0.4880554932
192	0.4880458824
193	0.4880246097
194	0.4879998303
195	0.4879811009
196	0.487959553
197	0.4879388342
198	0.4879122986
199	0.4878982051
