iter	Passed	Remaining
0	41	8161
1	75	7473
2	103	6816
3	132	6480
4	159	6230
5	188	6092
6	216	5957
7	243	5854
8	271	5764
9	298	5669
10	325	5592
11	353	5533
12	382	5502
13	408	5425
14	435	5374
15	463	5325
16	486	5237
17	512	5183
18	541	5154
19	567	5111
20	596	5080
21	622	5040
22	651	5015
23	678	4976
24	706	4945
25	736	4926
26	770	4934
27	799	4911
28	828	4885
29	856	4854
30	884	4822
31	911	4782
32	939	4752
33	965	4713
34	993	4683
35	1020	4648
36	1049	4622
37	1069	4559
38	1096	4525
39	1124	4498
40	1154	4478
41	1182	4450
42	1208	4411
43	1236	4382
44	1267	4365
45	1295	4337
46	1324	4311
47	1352	4282
48	1378	4248
49	1429	4288
50	1483	4334
51	1528	4350
52	1569	4352
53	1597	4319
54	1623	4279
55	1645	4231
56	1668	4186
57	1692	4144
58	1715	4100
59	1746	4075
60	1777	4051
61	1803	4015
62	1829	3977
63	1853	3938
64	1878	3901
65	1900	3859
66	1923	3819
67	1947	3781
68	1969	3740
69	1991	3699
70	2017	3664
71	2041	3630
72	2065	3592
73	2086	3553
74	2108	3514
75	2132	3479
76	2154	3442
77	2177	3406
78	2201	3372
79	2226	3339
80	2251	3307
81	2275	3274
82	2302	3245
83	2328	3214
84	2354	3185
85	2382	3158
86	2409	3130
87	2439	3105
88	2466	3076
89	2492	3046
90	2518	3016
91	2542	2985
92	2568	2955
93	2595	2926
94	2622	2898
95	2648	2869
96	2676	2842
97	2703	2813
98	2730	2785
99	2758	2758
100	2785	2730
101	2813	2703
102	2840	2675
103	2868	2647
104	2893	2618
105	2920	2590
106	2947	2562
107	2973	2533
108	3000	2504
109	3030	2479
110	3055	2449
111	3081	2421
112	3108	2393
113	3136	2365
114	3163	2338
115	3191	2311
116	3218	2283
117	3247	2256
118	3273	2227
119	3301	2200
120	3328	2172
121	3354	2144
122	3381	2116
123	3408	2089
124	3437	2062
125	3465	2035
126	3492	2007
127	3519	1979
128	3546	1951
129	3573	1924
130	3600	1896
131	3626	1868
132	3655	1841
133	3681	1813
134	3709	1785
135	3734	1757
136	3764	1731
137	3791	1703
138	3818	1675
139	3846	1648
140	3877	1622
141	3906	1595
142	3933	1567
143	3959	1539
144	3985	1511
145	4010	1483
146	4038	1455
147	4066	1428
148	4092	1400
149	4119	1373
150	4146	1345
151	4177	1319
152	4204	1291
153	4230	1263
154	4255	1235
155	4284	1208
156	4310	1180
157	4337	1152
158	4365	1125
159	4393	1098
160	4420	1070
161	4447	1043
162	4477	1016
163	4504	988
164	4530	960
165	4558	933
166	4587	906
167	4615	879
168	4645	852
169	4673	824
170	4699	797
171	4726	769
172	4752	741
173	4778	714
174	4806	686
175	4831	658
176	4862	631
177	4889	604
178	4917	576
179	4944	549
180	4970	521
181	4998	494
182	5024	466
183	5052	439
184	5077	411
185	5107	384
186	5136	357
187	5165	329
188	5194	302
189	5222	274
190	5249	247
191	5277	219
192	5302	192
193	5328	164
194	5351	137
195	5376	109
196	5401	82
197	5424	54
198	5452	27
199	5473	0
