iter	Logloss
0	0.6650034345
1	0.6407850824
2	0.6167685786
3	0.5972807586
4	0.5820517564
5	0.571221575
6	0.5620282202
7	0.5564139446
8	0.5510660885
9	0.5463367041
10	0.5420836464
11	0.5364425022
12	0.5324806265
13	0.5281264191
14	0.5257365204
15	0.523115457
16	0.5206397957
17	0.5187362186
18	0.5170400192
19	0.5150910571
20	0.513346873
21	0.5121994328
22	0.511097306
23	0.5089803105
24	0.5078689245
25	0.5069874838
26	0.5062269684
27	0.50572216
28	0.504933438
29	0.5036753824
30	0.5025537882
31	0.5010052124
32	0.5005171544
33	0.4999868829
34	0.4995966295
35	0.4991446716
36	0.4987372151
37	0.4984596221
38	0.4981796796
39	0.4979328479
40	0.4974515711
41	0.497076472
42	0.4962738477
43	0.4959971783
44	0.4957445235
45	0.4953243396
46	0.4951477493
47	0.4949486146
48	0.494852296
49	0.4947174661
50	0.494523838
51	0.4943678443
52	0.4941620885
53	0.4940542356
54	0.4938953605
55	0.493792759
56	0.4936648013
57	0.4934110107
58	0.4933288007
59	0.4931747853
60	0.4930514038
61	0.4929756225
62	0.4925381623
63	0.4921872508
64	0.4921381291
65	0.4920549919
66	0.4919626104
67	0.4918774719
68	0.4916515094
69	0.4916096323
70	0.491525527
71	0.4914803909
72	0.4914265424
73	0.4913684765
74	0.4912642046
75	0.4912051282
76	0.4911050867
77	0.4909923013
78	0.490934339
79	0.4906857408
80	0.4906168612
81	0.4905632787
82	0.4905305148
83	0.4904890772
84	0.4904174578
85	0.4903613393
86	0.4903013315
87	0.4902613586
88	0.4902267148
89	0.4901963365
90	0.490141187
91	0.4899689017
92	0.4899347659
93	0.4898880964
94	0.4898438881
95	0.4898039759
96	0.4897663505
97	0.4896929876
98	0.4896544255
99	0.4896274909
100	0.4895904792
101	0.489547805
102	0.4895194081
103	0.4894907135
104	0.4894556354
105	0.4894017338
106	0.4893708592
107	0.4893321451
108	0.4892935954
109	0.4892372329
110	0.4890954728
111	0.4890701241
112	0.4890352059
113	0.48899049
114	0.4889479605
115	0.4889264038
116	0.4888963434
117	0.4888584605
118	0.4888242707
119	0.4887989489
120	0.4887739558
121	0.488744027
122	0.488698465
123	0.4886697617
124	0.4886455066
125	0.4886086592
126	0.4885901149
127	0.4885678715
128	0.4885438052
129	0.4885258692
130	0.4884994138
131	0.4884617646
132	0.4884207742
133	0.4883871951
134	0.4883520463
135	0.4883240526
136	0.4882946842
137	0.4882688501
138	0.4882486134
139	0.4882167162
140	0.4881998572
141	0.488179909
142	0.4881568185
143	0.4881287737
144	0.4881056272
145	0.4880776112
146	0.4880645488
147	0.4880434546
148	0.4879355163
149	0.4879113418
150	0.4878888892
151	0.4878439487
152	0.4878189354
153	0.4878000524
154	0.4877756469
155	0.4877570916
156	0.487728595
157	0.4877042005
158	0.487689941
159	0.4876785432
160	0.4876653382
161	0.4876418531
162	0.4876228048
163	0.4875987023
164	0.487584789
165	0.4875101963
166	0.4875011005
167	0.4874768561
168	0.4874582846
169	0.4874289737
170	0.4874083399
171	0.487383017
172	0.4873704499
173	0.4873417805
174	0.4873235644
175	0.4872953593
176	0.4872403885
177	0.4872194065
178	0.4871980471
179	0.4871828396
180	0.4871686939
181	0.487143524
182	0.487132507
183	0.4871129687
184	0.4871001379
185	0.487079068
186	0.48705206
187	0.4870374801
188	0.4870218503
189	0.4870026701
190	0.4869846329
191	0.4869745054
192	0.486955024
193	0.4869341542
194	0.4869225473
195	0.4869067185
196	0.4868877397
197	0.486863032
198	0.4868537177
199	0.4868368442
200	0.4868111485
201	0.4867947196
202	0.4867818824
203	0.4867610479
204	0.4867434988
205	0.4867196767
206	0.486693239
207	0.4866731662
208	0.486653957
209	0.4866325385
210	0.4866128866
211	0.4865902986
212	0.4865100155
213	0.4865020717
214	0.4864877265
215	0.4864733267
216	0.4864636135
217	0.4864449994
218	0.4864283569
219	0.4864118766
220	0.4863981944
221	0.4863869486
222	0.4863756276
223	0.4863508021
224	0.4862850417
225	0.4862637414
226	0.4862487095
227	0.486235056
228	0.4862142551
229	0.4862059252
230	0.4861857833
231	0.4861702728
232	0.4861485672
233	0.4861327349
234	0.4861129391
235	0.4860960864
236	0.4860863849
237	0.4860743398
238	0.4860539737
239	0.4860338002
240	0.4860153955
241	0.4860036058
242	0.4859769472
243	0.4859529867
244	0.4859319245
245	0.4859155595
246	0.4858899815
247	0.4858731458
248	0.4858564497
249	0.4858387647
250	0.4858221636
251	0.4858021662
252	0.4857858671
253	0.4857703759
254	0.4857449905
255	0.4857213559
256	0.4857093352
257	0.4856858452
258	0.4856618
259	0.4856457641
260	0.4856291692
261	0.4856175871
262	0.4855975019
263	0.4855792132
264	0.4855617348
265	0.4855458722
266	0.4855268414
267	0.4855132317
268	0.485490491
269	0.4854591213
270	0.4854398264
271	0.4854156808
272	0.4853989202
273	0.4853811369
274	0.4853617817
275	0.4853422702
276	0.4853312879
277	0.4853216146
278	0.4853037595
279	0.4852815796
280	0.4852683183
281	0.485256949
282	0.4852378569
283	0.4852248041
284	0.4851999569
285	0.4851763875
286	0.485153259
287	0.4851428359
288	0.4851232251
289	0.4851029915
290	0.485089084
291	0.4850698532
292	0.485054565
293	0.4850360887
294	0.485023355
295	0.4850060451
296	0.4849839293
297	0.4849671578
298	0.4849471968
299	0.4849374927
300	0.4849118068
301	0.48489637
302	0.4848833665
303	0.4848613094
304	0.484844329
305	0.4848222272
306	0.4848050965
307	0.4847874662
308	0.4847637797
309	0.4847470045
310	0.4847292547
311	0.4846696535
312	0.4846513466
313	0.4846261861
314	0.4846213891
315	0.4845961823
316	0.4845754802
317	0.484553113
318	0.4845351457
319	0.4845167534
320	0.4845033696
321	0.4844825584
322	0.4844660479
323	0.4844513113
324	0.4844389304
325	0.4844183505
326	0.4843998488
327	0.4843875738
328	0.484368105
329	0.4843453314
330	0.4843293898
331	0.484311577
332	0.4842895918
333	0.4842692848
334	0.48425952
335	0.4842451936
336	0.4842250707
337	0.4842038487
338	0.4841930399
339	0.4841750095
340	0.4841593212
341	0.4841388012
342	0.4841274841
343	0.484111574
344	0.484089095
345	0.4840756068
346	0.4840574891
347	0.4840205505
348	0.4839986573
349	0.4839866953
350	0.4839666196
351	0.4839544814
352	0.4839376476
353	0.483922905
354	0.4839083303
355	0.4838907501
356	0.4838723968
357	0.4838522884
358	0.4838428489
359	0.4838262936
360	0.483811219
361	0.4837936577
362	0.4837715346
363	0.4837676977
364	0.4837503889
365	0.4837308321
366	0.4837210616
367	0.4837045619
368	0.4836914007
369	0.4836705833
370	0.4836566501
371	0.4836368651
372	0.4836164944
373	0.4835977456
374	0.4835821371
375	0.4835727317
376	0.4835610635
377	0.483549286
378	0.4835376535
379	0.4835238897
380	0.4835062503
381	0.4834900809
382	0.4834793387
383	0.4834649616
384	0.4834468222
385	0.4834370114
386	0.4834180919
387	0.4834054273
388	0.4833941979
389	0.4833751883
390	0.483358221
391	0.4833393435
392	0.4833227399
393	0.4833001175
394	0.4832936353
395	0.4832775402
396	0.483265187
397	0.4832521655
398	0.4832347287
399	0.4832230268
400	0.483210831
401	0.4831978427
402	0.4831829835
403	0.4831722212
404	0.4831536063
405	0.4831360709
406	0.4831181301
407	0.4831119949
408	0.483104832
409	0.4830915442
410	0.4830730592
411	0.4830576085
412	0.4830405709
413	0.4830301691
414	0.4830191328
415	0.4830062985
416	0.4829873858
417	0.4829686212
418	0.4829524238
419	0.4829394792
420	0.4829228003
421	0.4829198276
422	0.4829035437
423	0.4828925339
424	0.4828751692
425	0.4828615729
426	0.4828435162
427	0.4828265356
428	0.4828120235
429	0.4827974183
430	0.4827832491
431	0.4827378504
432	0.4827250537
433	0.4827084551
434	0.4826905261
435	0.4826811476
436	0.4826681907
437	0.4826520637
438	0.4826382618
439	0.4826300087
440	0.4826138551
441	0.4826013786
442	0.4825844921
443	0.4825736601
444	0.4825610761
445	0.4825437712
446	0.4825303147
447	0.4825170561
448	0.4825014592
449	0.4824872945
450	0.4824716977
451	0.4824619282
452	0.4824522975
