ID,probability
TEST_00000,0.0012784877
TEST_00001,0.0015144035
TEST_00002,0.1451129
TEST_00003,0.11100799
TEST_00004,0.5137781
TEST_00005,0.12789088
TEST_00006,0.4634343
TEST_00007,0.3646751
TEST_00008,0.22428611
TEST_00009,0.00067889405
TEST_00010,0.051501706
TEST_00011,0.4483932
TEST_00012,0.37609982
TEST_00013,0.39485806
TEST_00014,0.30085337
TEST_00015,0.0015022283
TEST_00016,0.23457009
TEST_00017,0.35019615
TEST_00018,0.21097805
TEST_00019,0.66863465
TEST_00020,0.2670404
TEST_00021,0.40044436
TEST_00022,0.2814489
TEST_00023,0.19345462
TEST_00024,0.38787973
TEST_00025,0.0010941656
TEST_00026,0.10544737
TEST_00027,0.4196167
TEST_00028,0.1676778
TEST_00029,0.18154636
TEST_00030,0.4377422
TEST_00031,0.180737
TEST_00032,0.16225193
TEST_00033,0.161829
TEST_00034,0.3963338
TEST_00035,0.001309683
TEST_00036,0.13949129
TEST_00037,0.31513494
TEST_00038,0.22514468
TEST_00039,0.0027572787
TEST_00040,0.17750804
TEST_00041,0.14410788
TEST_00042,0.27557397
TEST_00043,0.30525064
TEST_00044,0.30798057
TEST_00045,0.50089675
TEST_00046,0.50697553
TEST_00047,0.23072977
TEST_00048,0.14994861
TEST_00049,0.37463787
TEST_00050,0.27877888
TEST_00051,0.15135418
TEST_00052,0.13690083
TEST_00053,0.5850604
TEST_00054,0.001551898
TEST_00055,0.38352874
TEST_00056,0.3333032
TEST_00057,0.20793727
TEST_00058,0.4860769
TEST_00059,0.17420025
TEST_00060,0.00240533
TEST_00061,0.1761005
TEST_00062,0.33147272
TEST_00063,0.3291006
TEST_00064,0.19725373
TEST_00065,0.0010971957
TEST_00066,0.2829311
TEST_00067,0.19318806
TEST_00068,0.3019916
TEST_00069,0.4769794
TEST_00070,0.37117082
TEST_00071,0.37297642
TEST_00072,0.21204217
TEST_00073,0.25026855
TEST_00074,0.13123576
TEST_00075,0.23074844
TEST_00076,0.013339217
TEST_00077,0.0013701088
TEST_00078,0.11653175
TEST_00079,0.20152448
TEST_00080,0.34475774
TEST_00081,0.0011993988
TEST_00082,0.22540566
TEST_00083,0.1614236
TEST_00084,0.4261657
TEST_00085,0.37619698
TEST_00086,0.00067868445
TEST_00087,0.3812442
TEST_00088,0.11879133
TEST_00089,0.37816006
TEST_00090,0.22447857
TEST_00091,0.10425936
TEST_00092,0.41732797
TEST_00093,0.56543237
