ID,probability
TEST_00000,0.14691629
TEST_00001,0.120950334
TEST_00002,0.5521918
TEST_00003,0.42277437
TEST_00004,0.78585887
TEST_00005,0.5321486
TEST_00006,0.78826416
TEST_00007,0.6890316
TEST_00008,0.69635427
TEST_00009,0.12094687
TEST_00010,0.34204355
TEST_00011,0.7952757
TEST_00012,0.7952757
TEST_00013,0.81019294
TEST_00014,0.57906383
TEST_00015,0.120950334
TEST_00016,0.6587309
TEST_00017,0.7528404
TEST_00018,0.5864494
TEST_00019,0.8020827
TEST_00020,0.675304
TEST_00021,0.79435164
TEST_00022,0.6984369
TEST_00023,0.5954659
TEST_00024,0.78485876
TEST_00025,0.12091259
TEST_00026,0.1207484
TEST_00027,0.7499928
TEST_00028,0.559384
TEST_00029,0.5483922
TEST_00030,0.77474874
TEST_00031,0.5219405
TEST_00032,0.5258461
TEST_00033,0.56305355
TEST_00034,0.73881483
TEST_00035,0.121455655
TEST_00036,0.54698867
TEST_00037,0.68785053
TEST_00038,0.7136384
TEST_00039,0.13908887
TEST_00040,0.64731014
TEST_00041,0.5015596
TEST_00042,0.67835104
TEST_00043,0.73353493
TEST_00044,0.72330225
TEST_00045,0.8218315
TEST_00046,0.7941806
TEST_00047,0.6635426
TEST_00048,0.42293817
TEST_00049,0.7789541
TEST_00050,0.6465099
TEST_00051,0.120315
TEST_00052,0.43536907
TEST_00053,0.7598405
TEST_00054,0.12249697
TEST_00055,0.7621445
TEST_00056,0.6033248
TEST_00057,0.6279093
TEST_00058,0.7944206
TEST_00059,0.49422026
TEST_00060,0.13426682
TEST_00061,0.5819026
TEST_00062,0.6925938
TEST_00063,0.77545375
TEST_00064,0.6031759
TEST_00065,0.12127793
TEST_00066,0.70779324
TEST_00067,0.69948226
TEST_00068,0.71236944
TEST_00069,0.79294807
TEST_00070,0.73511624
TEST_00071,0.6212412
TEST_00072,0.48339173
TEST_00073,0.5415003
TEST_00074,0.40979406
TEST_00075,0.5900244
TEST_00076,0.1207888
TEST_00077,0.124139525
TEST_00078,0.50876606
TEST_00079,0.5367433
TEST_00080,0.7122932
TEST_00081,0.120391555
TEST_00082,0.58551663
TEST_00083,0.57226855
TEST_00084,0.7337641
TEST_00085,0.7203893
TEST_00086,0.12096173
TEST_00087,0.7212581
TEST_00088,0.120320685
TEST_00089,0.79435164
TEST_00090,0.6806081
TEST_00091,0.3200979
TEST_00092,0.7193119
TEST_00093,0.8032214
TEST_00094,0.12131056
TEST_00095,0.12091259
TEST_00096,0.77551824
TEST_00097,0.4681213
TEST_00098,0.6743022
TEST_00099,0.6796762
TEST_00100,0.1207484
TEST_00101,0.61795646
TEST_00102,0.6300274
TEST_00103,0.73255116
TEST_00104,0.7803098
TEST_00105,0.774648
TEST_00106,0.6536837
TEST_00107,0.13234432
TEST_00108,0.7774562
TEST_00109,0.122085005
TEST_00110,0.80912584
TEST_00111,0.67877054
TEST_00112,0.1486631
TEST_00113,0.77420634
TEST_00114,0.42884308
TEST_00115,0.70708275
TEST_00116,0.13399626
TEST_00117,0.7869935
TEST_00118,0.76618147
TEST_00119,0.47229505
TEST_00120,0.12109759
TEST_00121,0.122240536
TEST_00122,0.7102542
TEST_00123,0.77134824
TEST_00124,0.7874091
TEST_00125,0.5922098
TEST_00126,0.1391945
TEST_00127,0.32946315
TEST_00128,0.703634
TEST_00129,0.7929527
TEST_00130,0.68889797
TEST_00131,0.7738604
TEST_00132,0.1227097
TEST_00133,0.6524534
TEST_00134,0.7807645
TEST_00135,0.12244273
TEST_00136,0.65136635
TEST_00137,0.65622807
TEST_00138,0.34020236
TEST_00139,0.6436802
TEST_00140,0.16065139
TEST_00141,0.12746476
TEST_00142,0.5594769
TEST_00143,0.12091259
TEST_00144,0.44199914
TEST_00145,0.66677946
TEST_00146,0.120315
TEST_00147,0.6309052
TEST_00148,0.62042725
TEST_00149,0.73520905
TEST_00150,0.121624455
TEST_00151,0.12439388
TEST_00152,0.7944662
TEST_00153,0.75600004
TEST_00154,0.19519472
TEST_00155,0.6722743
TEST_00156,0.75686806
TEST_00157,0.767132
TEST_00158,0.81995606
TEST_00159,0.6733294
TEST_00160,0.7142969
TEST_00161,0.7596433
TEST_00162,0.6580124
TEST_00163,0.1445263
TEST_00164,0.7958316
TEST_00165,0.5725818
TEST_00166,0.7673703
TEST_00167,0.5983518
TEST_00168,0.77738065
TEST_00169,0.62817824
TEST_00170,0.618906
TEST_00171,0.6787781
TEST_00172,0.6561459
TEST_00173,0.6570159
TEST_00174,0.4555746
TEST_00175,0.70659465
TEST_00176,0.79005635
TEST_00177,0.6767718
TEST_00178,0.6223814
TEST_00179,0.699005
TEST_00180,0.72045803
TEST_00181,0.8409864
TEST_00182,0.55697143
TEST_00183,0.7948252
TEST_00184,0.4236063
TEST_00185,0.65055555
TEST_00186,0.6704282
