ID,probability
TEST_00000,0.000459492
TEST_00001,0.00016199453
TEST_00002,0.18055531
TEST_00003,0.100724585
TEST_00004,0.41023025
TEST_00005,0.12571165
TEST_00006,0.41721246
TEST_00007,0.30154228
TEST_00008,0.32524267
TEST_00009,0.00039922417
TEST_00010,0.05200791
TEST_00011,0.45509556
TEST_00012,0.45509556
TEST_00013,0.46109828
TEST_00014,0.26175195
TEST_00015,0.00016199453
TEST_00016,0.29199946
TEST_00017,0.35938463
TEST_00018,0.2685982
TEST_00019,0.55769837
TEST_00020,0.2661839
TEST_00021,0.4578911
TEST_00022,0.26543176
TEST_00023,0.22852407
TEST_00024,0.44957283
TEST_00025,0.0003626056
TEST_00026,3.8365994e-05
TEST_00027,0.31804392
TEST_00028,0.18111041
TEST_00029,0.22670767
TEST_00030,0.41439635
TEST_00031,0.15521088
TEST_00032,0.17827201
TEST_00033,0.17919768
TEST_00034,0.34748846
TEST_00035,0.00074568496
TEST_00036,0.14531371
TEST_00037,0.3063066
TEST_00038,0.29604572
TEST_00039,0.0010348989
TEST_00040,0.18531263
TEST_00041,0.11930826
TEST_00042,0.29695842
TEST_00043,0.32469848
TEST_00044,0.37075102
TEST_00045,0.5864974
TEST_00046,0.4828149
TEST_00047,0.23859254
TEST_00048,0.12978438
TEST_00049,0.45021468
TEST_00050,0.27226204
TEST_00051,4.0846717e-05
TEST_00052,0.11598661
TEST_00053,0.53471446
TEST_00054,0.0036784408
TEST_00055,0.38991275
TEST_00056,0.28826904
TEST_00057,0.2270949
TEST_00058,0.4624574
TEST_00059,0.1502395
TEST_00060,0.0001112415
TEST_00061,0.17095758
TEST_00062,0.2760545
TEST_00063,0.3915486
TEST_00064,0.12566441
TEST_00065,0.00047848467
TEST_00066,0.2731335
TEST_00067,0.2563709
TEST_00068,0.33118212
TEST_00069,0.4541019
TEST_00070,0.4078341
TEST_00071,0.3708996
TEST_00072,0.18764104
TEST_00073,0.15962008
TEST_00074,0.11761436
TEST_00075,0.26137105
TEST_00076,4.5159864e-05
TEST_00077,0.0004994617
TEST_00078,0.1275001
TEST_00079,0.23073274
TEST_00080,0.3463086
TEST_00081,3.482336e-05
TEST_00082,0.23610142
TEST_00083,0.17159463
TEST_00084,0.35560408
TEST_00085,0.29669383
