ID,probability
TEST_00000,0.000897115
TEST_00001,0.0012854812
TEST_00002,0.15440607
TEST_00003,0.10795798
TEST_00004,0.51942724
TEST_00005,0.12660474
TEST_00006,0.46346596
TEST_00007,0.33002776
TEST_00008,0.25653875
TEST_00009,0.00060739246
TEST_00010,0.0499976
TEST_00011,0.46859568
TEST_00012,0.3782526
TEST_00013,0.3933386
TEST_00014,0.30765617
TEST_00015,0.000946948
TEST_00016,0.22405444
TEST_00017,0.35000223
TEST_00018,0.21218988
TEST_00019,0.7015192
TEST_00020,0.2607687
TEST_00021,0.38968062
TEST_00022,0.26993093
TEST_00023,0.21233067
TEST_00024,0.39527896
TEST_00025,0.00090111874
TEST_00026,0.10653019
TEST_00027,0.43401378
TEST_00028,0.17459562
TEST_00029,0.17736487
TEST_00030,0.44848773
TEST_00031,0.18691054
TEST_00032,0.16126189
TEST_00033,0.1825275
TEST_00034,0.40612352
TEST_00035,0.0010400638
TEST_00036,0.13695331
TEST_00037,0.31016502
TEST_00038,0.20711774
TEST_00039,0.003570877
TEST_00040,0.1870803
TEST_00041,0.13451597
TEST_00042,0.31289658
TEST_00043,0.30262402
TEST_00044,0.3107783
TEST_00045,0.5082109
TEST_00046,0.510729
TEST_00047,0.2393693
TEST_00048,0.1281327
TEST_00049,0.38191622
TEST_00050,0.28095034
TEST_00051,0.17873406
TEST_00052,0.11580098
TEST_00053,0.5719957
TEST_00054,0.00189245
TEST_00055,0.4073253
TEST_00056,0.31766233
TEST_00057,0.21644907
TEST_00058,0.5247267
TEST_00059,0.183854
TEST_00060,0.0025424361
TEST_00061,0.16842836
TEST_00062,0.33873254
TEST_00063,0.33580562
TEST_00064,0.2024562
TEST_00065,0.0015681717
TEST_00066,0.27911267
TEST_00067,0.1874787
TEST_00068,0.28868207
TEST_00069,0.4765295
TEST_00070,0.39395186
TEST_00071,0.3510099
TEST_00072,0.20524542
TEST_00073,0.25145644
TEST_00074,0.14095609
TEST_00075,0.23832846
TEST_00076,0.010975829
TEST_00077,0.0012217875
TEST_00078,0.11738082
TEST_00079,0.19994015
TEST_00080,0.33678958
TEST_00081,0.000893283
TEST_00082,0.22032139
TEST_00083,0.16234954
TEST_00084,0.43541148
TEST_00085,0.3907709
TEST_00086,0.0006016347
TEST_00087,0.3767016
